"series key","first date (dd-mm-yyyy)","last date (dd-mm-yyyy)","dimensions"
"SUP.H.AT.AT.S13.E0010._T.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.AT.AT.S13.E0010._T.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.AT.BE.S13.E0010._T.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.AT.BE.S13.E0010._T.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.AT.BG.S13.E0010._T.LSI._Z.ALL.LE.E.C","01-07-2020","01-01-2025","null"
"SUP.H.AT.BG.S13.E0010._T.SII._Z.ALL.LE.E.C","01-07-2020","01-07-2025","null"
"SUP.H.AT.CY.S13.E0010._T.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.AT.CY.S13.E0010._T.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.AT.DE.S13.E0010._T.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.AT.DE.S13.E0010._T.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.AT.E10.S13.E0010._T.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.AT.E10.S13.E0010._T.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.AT.EE.S13.E0010._T.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.AT.EE.S13.E0010._T.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.AT.ES.S13.E0010._T.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
"SUP.H.AT.ES.S13.E0010._T.SII._Z.ALL.LE.E.C","01-01-2018","01-07-2025","null"
"SUP.H.AT.FI.S13.E0010._T.LSI._Z.ALL.LE.E.C","01-01-2020","01-01-2025","null"
