Publication Table,Publication table description,Period,Dimension,Dimension name,Dimension code,Dimension value,Dataflow,Dataflow name,Last update of data,Downloaded at,Source,Source URL,Download URL,About International banking / Locational banking statistics
BIS:LBS_A2(1.0),"Cross-border positions, by location of reporting bank and sector of counterparty",2025-Q3,L_MEASURE,Measure,S,Amounts outstanding / Stocks,BIS:WS_LBS_D_PUB(1.0),Locational banking,16/03/2026,2026-03-30 23:00 CEST,BIS,"https://data.bis.org/topics/LBS/tables-and-dashboards/BIS,LBS_A2,1.0?","https://data.bis.org/pt_export/BIS,LBS_A2,1.0?file_format=csv&include=code%2Clabel&variant=table",https://data.bis.org/topics/LBS

,All sectors,,Bank sector,,,,Non-bank sector,,,,,,Unallocated by sector,
,,,Total,,Of which: Intragroup [1],,Total,,Of which: Non-bank financial,,Of which: Non-financial,,,
,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities
Banks in all LBS reporting countries,"45,066.122301","40,188.178199","20,970.007543","20,162.159831","12,991.182842","12,092.592854","21,939.539172","13,690.117789","10,822.338198","8,610.470664","10,564.38238","4,619.968169","2,156.575586","6,335.900579"
  Australia,526.429791,773.751101,335.898295,498.224461,215.255582,235.583306,190.524258,222.421586,111.547806,170.660649,78.97645,51.760939,0.007238,53.105054
  Austria,332.028415,266.94265,136.435477,114.069826,46.667289,15.600809,195.593002,113.384512,54.720754,74.611507,140.872288,38.773095,\,39.488312
  The Bahamas,107.090445,92.230452,71.059775,69.03142,28.006786,26.822627,35.527632,23.06269,14.822489,2.38275,20.705143,20.67994,0.503038,0.136342
  Bahrain,151.1290,168.4080,60.0950,124.2200,,,91.0340,44.1880,,,,,\,\
  Belgium,604.958668,690.619066,385.398159,533.245321,260.53364,199.219719,203.270191,79.023724,54.409823,44.072477,148.860368,34.951247,16.290318,78.350021
  Bermuda,11.246025,1.476444,3.446775,0.454986,1.809738,0.451577,7.79925,1.021461,0.853901,0.756155,6.945349,0.265339,\,\
  Brazil,77.821676,155.690509,57.371064,135.271572,44.117315,114.214953,19.160361,16.973921,4.616618,10.337597,14.543752,6.63633,1.290251,3.445016
  Canada,"1,686.343713","1,381.467767",716.920443,652.619625,592.031476,488.642563,968.897504,670.762619,547.908069,519.64048,420.989443,151.122157,\,58.085523
  Cayman Islands,311.7430,267.5050,176.6950,166.8440,162.2720,129.2620,134.7450,99.8280,47.9940,61.7000,86.7510,38.1280,0.3030,0.8330
  Chile,28.179354,51.593688,16.616249,32.163496,,,4.285891,8.70688,,,,,7.277214,10.723312
  China,"1,811.44318","1,439.853809",882.527179,578.838072,\,\,928.916005,861.015751,\,\,\,\,\,\
  Chinese Taipei,603.547807,270.518276,273.867191,128.286315,129.69721,65.974049,319.184608,139.747001,135.120453,32.531641,184.064155,107.21536,10.496008,2.48496
  Curaçao,,,,,,,,,,,,,,
  Cyprus,28.047697,11.595003,13.252846,2.709143,3.330904,2.250502,14.373058,8.885859,2.937366,2.75557,11.435691,6.130276,0.421793,\
  Denmark,266.143679,158.202284,134.046882,98.869795,73.167934,35.402139,131.977624,59.327877,84.732358,46.849878,47.245338,12.478116,0.119173,\
  Finland,230.119187,368.828492,113.864694,93.610491,54.440684,39.928887,106.366847,44.026372,52.96862,29.88376,53.398233,14.14261,\,231.191629
  France,"6,123.5770","6,707.0330","2,311.8540","2,173.9880","1,173.7370",954.6560,"2,175.1220","1,473.9620","1,213.0950","1,028.6290",962.0280,445.3340,"1,636.6010","3,059.0830"
  Germany,"4,380.6290","3,878.9840","2,653.7350","2,178.6720","1,835.2080","1,729.3090","1,726.8070",813.7540,768.7430,603.6630,957.9900,210.0130,0.0870,886.5580
  Greece,115.218225,37.177222,28.007918,18.492825,,,87.210307,18.684397,41.488959,4.709863,45.721348,13.974534,,
  Guernsey,112.36177,70.03728,77.854087,46.431136,60.506792,45.917813,34.168715,22.494684,4.351358,3.221892,29.817372,19.272788,0.338968,1.11146
  Hong Kong SAR,"2,228.926817","1,359.327046","1,210.953936",716.115046,653.462605,515.221434,956.749536,638.882675,\,\,\,\,61.223345,4.329325
  India,74.039219,300.014221,50.865158,34.026499,\,\,22.515854,264.845548,\,\,\,\,\,\
  Indonesia,28.948761,53.924425,25.77898,38.652702,10.856945,\,3.157964,15.248446,0.600954,10.730181,2.55701,4.518265,\,\
  Ireland,691.339084,604.419539,446.707755,348.261582,274.982195,213.160125,239.909023,129.403436,107.657413,89.639183,132.25162,39.764257,4.722306,126.754521
  Isle of Man,58.35326,44.886805,45.156853,10.932224,43.0220,5.809778,13.194481,33.815595,1.619075,4.084683,11.575409,29.730915,0.001926,0.138986
  Italy,"1,140.967717","1,008.14195",600.737224,733.205384,201.383023,260.310282,545.790814,268.48195,268.29366,228.318831,277.497155,40.163125,-5.560321,6.454616
  Japan,"5,029.670156","1,641.59518","1,175.294613","1,250.679359",600.133248,764.305632,"3,854.375563",390.915866,"1,399.485702",340.352238,"2,454.889899",50.563643,\,\
  Jersey,245.2490,207.9760,217.1150,142.7800,201.7900,123.9810,28.1380,65.1960,,,,,-0.0040,\
  Korea,265.630727,293.565166,136.922996,213.368178,67.29451,80.970481,108.179476,54.287505,26.2998,42.091121,81.879702,12.196396,20.528255,25.909483
  Luxembourg,817.809554,576.272728,518.21234,323.071266,361.698531,214.224382,293.666915,244.606048,99.58574,140.501399,194.081175,104.104649,5.930299,8.595414
  Macao SAR,203.383348,130.089856,114.524098,66.938581,47.749535,47.036167,87.680924,43.632742,19.159354,16.459931,68.521567,27.172814,1.178326,19.518533
  Malaysia,85.705506,142.390393,\,\,\,\,35.305833,39.014437,\,\,\,\,\,\
  Mexico,62.734357,21.789541,38.507844,18.930129,,,24.226513,2.859412,,,,,,
  Netherlands,"1,436.945073","1,088.087545",688.281122,514.226738,500.102802,402.817451,709.849034,533.858056,348.555626,287.44775,361.2935,246.41043,38.814917,40.002751
  Norway,245.406652,402.871974,125.468697,165.380436,65.072574,124.981694,119.825858,46.72246,63.60473,13.027406,56.221122,33.695054,0.112097,190.769078
  Panama,71.99041,62.877593,36.179938,30.613534,,,35.810472,32.264059,,,,,,
  Philippines,43.942822,29.53401,20.602473,23.72877,3.068803,4.994069,23.287387,5.480102,3.13775,3.039797,20.149642,2.440344,0.052962,0.325138
  Portugal,130.353601,105.610764,27.592603,42.270626,10.254471,30.161986,100.353985,23.689086,8.866196,2.721855,91.487789,20.967231,2.407013,39.651052
  Russia,,,,,,,,,,,,,,
  Saudi Arabia,114.777572,153.006809,68.355932,142.337009,\,\,46.417691,10.072227,\,\,\,\,0.003949,0.597573
  Singapore,818.28254,728.416965,\,421.503633,\,,369.251091,306.388079,,,,,\,\
  South Africa,59.7440,52.5050,33.6410,39.9570,7.4780,16.4020,26.0490,12.4540,10.1950,8.3130,15.8540,4.1410,0.0540,0.0940
  Spain,"1,168.11603",645.431389,552.11035,358.595342,257.925073,115.491084,478.884354,185.249683,193.027951,86.396102,285.856386,98.853604,137.121326,101.586364
  Sweden,466.902148,660.177902,231.48925,201.400491,171.332917,163.574661,222.673365,119.079028,126.132342,82.418068,96.541073,36.660984,12.739533,339.698383
  Switzerland,"1,035.521215","1,062.525787",613.341786,525.698366,251.053532,260.554564,414.820235,536.750209,207.139665,187.955416,207.680578,348.794774,7.359194,0.077212
  Türkiye,125.6511,136.578568,119.879549,107.722328,24.046333,13.461103,5.771551,23.619806,0.997036,8.285572,4.774515,15.334234,,5.236434
  United Kingdom,"6,668.2920","6,419.9050","3,120.0910","3,050.7530","2,200.3640","2,063.3370","3,494.2820","2,369.2920","2,425.4400","1,895.9660","1,068.8420",473.3260,53.9190,999.8600
  United States,"4,239.3820","5,464.3420","1,934.9730","2,891.6030","1,581.6100","2,185.3220","2,304.4090","2,572.7380","1,889.0290","1,955.6760",415.3800,617.0620,\,\
,,,,,,,,,,,,,,
"[1] Intragroup positions are, due to greater coverage, from the LBS by nationality of reporting bank.",,,,,,,,,,,,,,

,All sectors,,Bank sector,,,,Non-bank sector,,,,,,Unallocated by sector,
,,,Total,,Of which: Intragroup [1],,Total,,Of which: Non-bank financial,,Of which: Non-financial,,,
,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities,Claims,Liabilities
Banks in all LBS reporting countries,Q.S.C.A.TO1.A.5J.A.5A.A.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.A.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.B.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.B.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.I.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.I.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.N.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.N.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.F.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.F.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.P.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.P.5J.N.2025-Q3,Q.S.C.A.TO1.A.5J.A.5A.U.5J.N.2025-Q3,Q.S.L.A.TO1.A.5J.A.5A.U.5J.N.2025-Q3
