Annual consolidated balance sheet of the Eurosystem ,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in EUR millions) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets,"Balance as at
31 December 1999","Balance as at
31 December 2000","Balance as at
31 December 2001","Balance as at
31 December 2002","Balance as at
31 December 2003","Balance as at
31 December 2004","Balance as at
31 December 2005","Balance as at
31 December 2006","Balance as at
31 December 2007","Balance as at
31 December 2008","Balance as at
31 December 2009","Balance as at
31 December 2010","Balance as at
31 December 2011","Balance as at
31 December 2012","Balance as at
31 December 2013","Balance as at
31 December 2014","Balance as at
31 December 2015",Balance as at 31 December 2016,Balance as at 31 December 2017,Balance as at 31 December 2018,Balance as at 31 December 2019,Balance as at 31 December 2020,Balance as at 31 December 2021,Balance as at 31 December 2022,Balance as at 31 December 2023,Balance as at 31 December 2024,Balance as at 31 December 2025
 1 Gold and gold receivables,"116,610","117,073","126,801","130,739","130,344","125,730","163,881","176,768","201,584","217,722","266,919","367,402","423,458","438,686","302,940","343,630","338,713","382,061","376,300","389,765","470,742","536,542","559,373","592,898","649,110","872,156","1,274,398"
 2 Claims on non-euro area residents denominated in foreign currency,"254,882","258,825","264,986","234,486","175,579","153,856","154,140","142,288","139,030","160,372","195,479","224,001","244,623","250,771","239,288","270,250","307,243","327,859","296,201","334,369","351,133","347,172","500,191","523,240","499,609","522,440","500,943"
    2.1 Receivables from the IMF,"29,842","26,738","32,008","31,305","29,130","23,948","16,391","10,658","9,057","13,192","62,799","71,319","85,655","86,980","81,538","81,298","80,384","78,752","70,214","76,943","80,524","85,379","218,902","228,488","229,003","236,843","224,115"
"    2.2 Balances with banks and security investments, external loans and other external assets","225,040","232,087","232,978","203,181","146,449","129,908","137,749","131,630","129,973","147,180","132,680","152,681","158,968","163,791","157,750","188,951","226,860","249,107","225,987","257,426","270,608","261,793","281,289","294,752","270,607","285,598","276,828"
 3 Claims on euro area residents denominated in foreign currency,"14,385","15,786","24,804","19,823","17,415","16,974","23,693","23,404","41,975","234,293","32,151","26,940","98,226","32,727","22,464","27,940","31,110","30,719","38,079","20,499","22,074","23,437","24,529","20,417","13,888","16,015","16,822"
 4 Claims on non-euro area residents denominated in euro,"6,050","3,750","5,707","4,190","6,049","6,849","9,185","12,292","18,822","18,651","15,193","22,603","25,355","19,069","20,101","18,905","20,242","19,082","19,364","21,276","17,491","14,336","12,983","14,224","20,325","20,132","33,941"
"    4.1 Balances with banks, security investments and loans","6,050","3,750","5,707","4,190","6,049","6,849","9,185","12,292","18,822","18,651","15,193","22,603","25,355","19,069","20,101","18,905","20,242","19,082","19,364","21,276","17,491","14,336","12,983","14,224","20,325","20,132","33,941"
    4.2 Claims arising from the credit facility under ERM II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 5 Lending to euro area credit institutions related to monetary policy operations denominated in euro,"248,815","268,648","203,597","227,654","298,163","345,112","405,966","450,541","637,178","860,312","749,890","546,747","863,568","1,126,019","752,288","630,341","558,989","595,873","764,310","734,381","624,232","1,793,194","2,201,882","1,324,347","410,290","34,221","36,707"
    5.1 Main refinancing operations,"161,987","222,988","142,000","180,000","253,001","270,000","315,000","330,453","368,607","239,527","79,277","227,865","144,755","89,661","168,662","156,129","88,978","39,131","3,372","9,573","7,904",468,386,"2,406","14,085","16,979","24,958"
    5.2 Longer-term refinancing operations,"74,996","45,000","60,000","45,000","45,000","75,000","90,017","120,000","268,477","616,662","669,297","298,217","703,894","1,035,771","583,325","473,285","469,543","556,570","760,639","723,837","616,188","1,792,574","2,201,496","1,321,422","396,196","17,194","11,749"
    5.3 Fine-tuning reverse operations,0,0,0,0,0,0,0,0,0,0,0,"20,623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    5.4 Structural reverse operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    5.5 Marginal lending facility,"11,429",608,"1,573","2,621",134,109,949,88,91,"4,057","1,289",25,"14,823",587,301,924,468,172,299,971,140,152,0,519,10,48,0
    5.6 Credits related to margin calls,404,53,24,33,28,3,0,0,2,66,27,17,97,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 6 Other claims on euro area credit institutions denominated in euro,"1,842",578,488,147,729,"3,763","3,636","11,036","23,798","56,988","26,282","45,655","176,490","202,764","74,849","59,942","107,864","69,134","37,563","17,637","18,849","25,473","26,627","31,035","28,708","36,292","22,453"
 7 Securities of euro area residents denominated in euro,"23,521","26,071","24,417","27,828","54,466","70,244","92,367","77,614","143,983","271,196","328,652","457,415","618,764","586,133","590,008","590,265","1,161,004","1,974,866","2,660,726","2,899,300","2,848,351","3,890,770","4,886,410","5,102,068","4,898,730","4,532,962","4,063,958"
    7.1 Securities held for monetary policy purposes,0,0,0,0,0,0,0,0,0,0,"28,782","134,829","273,854","277,153","235,930","217,242","803,135","1,653,995","2,386,012","2,651,281","2,632,025","3,694,496","4,713,403","4,937,179","4,694,345","4,283,371","3,745,459"
    7.2 Other securities,"23,521","26,071","24,417","27,828","54,466","70,244","92,367","77,614","143,983","271,196","299,870","322,586","344,910","308,979","354,078","373,022","357,869","320,870","274,714","248,018","216,326","196,273","173,007","164,888","204,384","249,591","318,499"
 8 General government debt denominated in euro,"59,180","57,671","67,722","44,486","42,686","41,317","40,113","39,359","37,062","37,438","36,171","34,954","33,926","29,961","28,287","26,715","25,145","26,460","25,015","23,947","23,380","22,676","22,168","21,589","20,917","20,394","19,700"
