"DATE","TIME PERIOD","Net liquidity outflow, Significant institutions (SUP.Q.B01.W0._Z.A6320._T.SII._Z.ALL.LE.E.C)"
"2016-09-30","2016Q3","2049.1573"
"2016-12-31","2016Q4","2133.7493"
"2017-03-31","2017Q1","2203.5001"
"2017-06-30","2017Q2","2186.5384"
"2017-09-30","2017Q3","2213.4513"
"2017-12-31","2017Q4","2152.2000"
"2018-03-31","2018Q1","2212.2829"
"2018-06-30","2018Q2","2229.3205"
"2018-09-30","2018Q3","2240.6603"
"2018-12-31","2018Q4","2245.2584"
"2019-03-31","2019Q1","2373.4909"
"2019-06-30","2019Q2","2317.1535"
"2019-09-30","2019Q3","2434.9741"
"2019-12-31","2019Q4","2322.5069"
"2020-03-31","2020Q1","2538.9623"
"2020-06-30","2020Q2","2677.5875"
"2020-09-30","2020Q3","2717.7717"
"2020-12-31","2020Q4","2698.1655"
"2021-03-31","2021Q1","2892.1716"
"2021-06-30","2021Q2","2966.5055"
"2021-09-30","2021Q3","3048.7335"
"2021-12-31","2021Q4","2872.5308"
"2022-03-31","2022Q1","3191.6150"
"2022-06-30","2022Q2","3157.1794"
"2022-09-30","2022Q3","3301.1768"
"2022-12-31","2022Q4","3090.2354"
"2023-03-31","2023Q1","3164.6046"
"2023-06-30","2023Q2","3104.0473"
"2023-09-30","2023Q3","3116.1595"
"2023-12-31","2023Q4","3003.4610"
"2024-03-31","2024Q1","3167.8120"
"2024-06-30","2024Q2","3129.9031"
"2024-09-30","2024Q3","3170.7716"
"2024-12-31","2024Q4","3130.5391"
"2025-03-31","2025Q1","3301.9797"
"2025-06-30","2025Q2","3247.2010"
"2025-09-30","2025Q3","3281.1600"
"2025-12-31","2025Q4","3223.5500"
