"DATE","TIME PERIOD","Liquidity coverage ratio, Significant institutions (SUP.Q.B01.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C)"
"2016-09-30","2016Q3","137.64"
"2016-12-31","2016Q4","136.09"
"2017-03-31","2017Q1","141.72"
"2017-06-30","2017Q2","142.79"
"2017-09-30","2017Q3","140.34"
"2017-12-31","2017Q4","143.56"
"2018-03-31","2018Q1","141.90"
"2018-06-30","2018Q2","140.91"
"2018-09-30","2018Q3","140.92"
"2018-12-31","2018Q4","145.02"
"2019-03-31","2019Q1","148.96"
"2019-06-30","2019Q2","146.70"
"2019-09-30","2019Q3","145.06"
"2019-12-31","2019Q4","145.93"
"2020-03-31","2020Q1","146.47"
"2020-06-30","2020Q2","165.18"
"2020-09-30","2020Q3","170.62"
"2020-12-31","2020Q4","171.32"
"2021-03-31","2021Q1","172.27"
"2021-06-30","2021Q2","173.81"
"2021-09-30","2021Q3","173.78"
"2021-12-31","2021Q4","173.43"
"2022-03-31","2022Q1","167.39"
"2022-06-30","2022Q2","164.31"
"2022-09-30","2022Q3","161.98"
"2022-12-31","2022Q4","161.32"
"2023-03-31","2023Q1","161.25"
"2023-06-30","2023Q2","157.96"
"2023-09-30","2023Q3","158.74"
"2023-12-31","2023Q4","164.30"
"2024-03-31","2024Q1","157.95"
"2024-06-30","2024Q2","159.47"
"2024-09-30","2024Q3","158.50"
"2024-12-31","2024Q4","158.28"
"2025-03-31","2025Q1","156.16"
"2025-06-30","2025Q2","157.72"
"2025-09-30","2025Q3","156.71"
"2025-12-31","2025Q4","158.60"
