"DATE","TIME PERIOD","Net stable funding ratio, Significant institutions (SUP.Q.B01.W0._Z.I3214._T.SII._Z._Z._Z.PCT.C)"
"2021-06-30","2021Q2","129.15"
"2021-09-30","2021Q3","129.28"
"2021-12-31","2021Q4","129.40"
"2022-03-31","2022Q1","128.88"
"2022-06-30","2022Q2","126.99"
"2022-09-30","2022Q3","127.05"
"2022-12-31","2022Q4","125.80"
"2023-03-31","2023Q1","125.87"
"2023-06-30","2023Q2","126.34"
"2023-09-30","2023Q3","125.90"
"2023-12-31","2023Q4","126.68"
"2024-03-31","2024Q1","126.92"
"2024-06-30","2024Q2","127.32"
"2024-09-30","2024Q3","126.87"
"2024-12-31","2024Q4","126.93"
"2025-03-31","2025Q1","126.35"
"2025-06-30","2025Q2","126.72"
"2025-09-30","2025Q3","126.27"
"2025-12-31","2025Q4","126.49"
