"DATE","TIME PERIOD","Required stable funding, Significant institutions (SUP.Q.B01.W0._Z.A7100._T.SII._Z.ALL.LE.E.C)"
"2021-06-30","2021Q2","12379.6856"
"2021-09-30","2021Q3","12428.2295"
"2021-12-31","2021Q4","12500.3812"
"2022-03-31","2022Q1","12668.5899"
"2022-06-30","2022Q2","12462.0804"
"2022-09-30","2022Q3","12486.5889"
"2022-12-31","2022Q4","12209.0479"
"2023-03-31","2023Q1","12175.4260"
"2023-06-30","2023Q2","12186.8656"
"2023-09-30","2023Q3","12195.0152"
"2023-12-31","2023Q4","12197.3534"
"2024-03-31","2024Q1","12386.5443"
"2024-06-30","2024Q2","12466.6803"
"2024-09-30","2024Q3","12626.4128"
"2024-12-31","2024Q4","12755.7027"
"2025-03-31","2025Q1","12962.6754"
"2025-06-30","2025Q2","12990.4059"
"2025-09-30","2025Q3","13106.7905"
"2025-12-31","2025Q4","13261.6523"
